I'm sorry, but errors were detected in your script. Please correct the
File "game/scenario/salles/4_1.rpy", line 467: Line with id b0865fd9 appears twice. The other line is game/scenario/salles/4_0.rpy:467

File "game/scenario/salles/4_1.rpy", line 471: Line with id 8a4534e5 appears twice. The other line is game/scenario/salles/4_0.rpy:471

File "game/scenario/salles/4_1.rpy", line 472: Line with id e7c38456 appears twice. The other line is game/scenario/salles/4_0.rpy:472

File "game/scenario/salles/4_1.rpy", line 476: Line with id 2d106977 appears twice. The other line is game/scenario/salles/4_0.rpy:476

File "game/scenario/salles/4_1.rpy", line 480: Line with id d43ba426 appears twice. The other line is game/scenario/salles/4_0.rpy:480

File "game/scenario/salles/4_1.rpy", line 481: Line with id 244e6c93 appears twice. The other line is game/scenario/salles/4_0.rpy:481

File "game/scenario/salles/4_1.rpy", line 485: Line with id 33760aae appears twice. The other line is game/scenario/salles/4_0.rpy:485

File "game/scenario/salles/4_1.rpy", line 487: Line with id b0fc617e appears twice. The other line is game/scenario/salles/4_0.rpy:487

File "game/scenario/salles/4_1.rpy", line 492: Line with id 142240a7 appears twice. The other line is game/scenario/salles/4_0.rpy:492

File "game/scenario/salles/4_1.rpy", line 507: Line with id 2904d742 appears twice. The other line is game/scenario/salles/4_0.rpy:507

File "game/scenario/salles/4_1.rpy", line 508: Line with id a29444b5 appears twice. The other line is game/scenario/salles/4_0.rpy:508

File "game/scenario/salles/4_1.rpy", line 511: Line with id eab7a6b9 appears twice. The other line is game/scenario/salles/4_0.rpy:511

File "game/scenario/salles/4_1.rpy", line 512: Line with id d505340f appears twice. The other line is game/scenario/salles/4_0.rpy:512

File "game/scenario/salles/4_1.rpy", line 513: Line with id 198e1c7f appears twice. The other line is game/scenario/salles/4_0.rpy:513

File "game/scenario/salles/4_1.rpy", line 516: Line with id 2563a35c appears twice. The other line is game/scenario/salles/4_0.rpy:516

File "game/scenario/salles/4_1.rpy", line 517: Line with id 32a688f4 appears twice. The other line is game/scenario/salles/4_0.rpy:517

File "game/scenario/salles/4_1.rpy", line 519: Line with id 7d5ea403 appears twice. The other line is game/scenario/salles/4_0.rpy:519

File "game/scenario/salles/4_1.rpy", line 520: Line with id 4eaa4271 appears twice. The other line is game/scenario/salles/4_0.rpy:520

File "game/scenario/salles/4_1.rpy", line 521: Line with id f6f74abd appears twice. The other line is game/scenario/salles/4_0.rpy:521

File "game/scenario/salles/4_1.rpy", line 525: Line with id 60b3698c appears twice. The other line is game/scenario/salles/4_0.rpy:525

File "game/scenario/salles/4_1.rpy", line 526: Line with id f5740698 appears twice. The other line is game/scenario/salles/4_0.rpy:526

